x,y,p0,p1,p2
-2.227556,-2.1454587,1,0.0000000000000000000022473041,0.000000000000000000000012940859
-2.227556,-2.0954587,1,0.0000000000000000000039109257,0.000000000000000000000036215538
-2.227556,-2.0454588,1,0.000000000000000000006806084,0.00000000000000000000010135108
-2.227556,-1.9954588,1,0.000000000000000000011844499,0.00000000000000000000028363417
-2.227556,-1.9454589,1,0.000000000000000000020789567,0.0000000000000000000008220449
-2.227556,-1.8954589,1,0.000000000000000000036845452,0.0000000000000000000024789753
-2.227556,-1.845459,1,0.00000000000000000006530112,0.000000000000000000007475648
-2.227556,-1.795459,1,0.00000000000000000011641273,0.000000000000000000023200668
-2.227556,-1.7454591,1,0.00000000000000000020929386,0.00000000000000000007505913
-2.227556,-1.6954591,1,0.00000000000000000037627978,0.00000000000000000024283143
-2.227556,-1.6454592,1,0.000000000000000000676496,0.00000000000000000078560874
-2.227556,-1.5954592,1,0.0000000000000000012162456,0.000000000000000002541603
-2.227556,-1.5454593,1,0.0000000000000000021866317,0.000000000000000008222599
-2.227556,-1.4954593,1,0.000000000000000003931244,0.000000000000000026601665
-2.227556,-1.4454594,1,0.0000000000000000070678026,0.00000000000000008606176
-2.227556,-1.3954594,1,0.000000000000000012706924,0.00000000000000027842717
-2.227556,-1.3454595,1,0.00000000000000002284528,0.0000000000000009007716
-2.227556,-1.2954595,1,0.000000000000000041072472,0.0000000000000029141777
-2.227556,-1.2454596,1,0.000000000000000073835544,0.000000000000009429212
-2.227556,-1.1954596,1,0.00000000000000013269236,0.000000000000030521934
-2.227556,-1.1454597,1,0.00000000000000023846773,0.000000000000098797937
-2.227556,-1.0954597,1,0.00000000000000042856008,0.00000000000031980505
-2.227556,-1.0454597,1,0.00000000000000077018276,0.0000000000010351945
-2.227556,-0.99545974,1,0.0000000000000013841267,0.000000000003350878
-2.227556,-0.9454597,1,0.0000000000000024874704,0.0000000000108466205
-2.227556,-0.8954597,1,0.0000000000000044703684,0.00000000003511022
-2.227556,-0.8454597,1,0.000000000000008033391,0.00000000011363437
-2.227556,-0.7954597,1,0.000000000000014432344,0.0000000003675383
-2.227556,-0.7454597,1,0.000000000000025928344,0.0000000011887613
-2.227556,-0.69545966,1,0.000000000000046580978,0.0000000038449
-2.227556,-0.64545965,1,0.00000000000008368495,0.000000012435897
-2.227556,-0.59545964,1,0.00000000000015034257,0.00000004022243
-2.227556,-0.5454596,0.9999999,0.0000000000002700976,0.00000013009466
-2.227556,-0.49545962,0.9999995,0.00000000000048524124,0.0000004207756
-2.227556,-0.4454596,0.9999987,0.000000000000871755,0.0000013609515
-2.227556,-0.3954596,0.9999956,0.0000000000015661386,0.0000044018266
-2.227556,-0.34545958,0.9999856,0.0000000000028417247,0.000014425954
-2.227556,-0.29545957,0.99994874,0.0000000000054825398,0.00005128293
-2.227556,-0.24545957,0.9998178,0.000000000010576428,0.00018228873
-2.227556,-0.19545957,0.9993523,0.000000000020396433,0.0006477417
-2.227556,-0.14545958,0.99767953,0.000000000039698148,0.0023204398
-2.227556,-0.09545958,0.99136955,0.00000000008061889,0.008630442
-2.227556,-0.04545958,0.96844345,0.00000000016095182,0.031556528
-2.227556,0.004540421,0.89129394,0.0000000003027358,0.10870605
-2.227556,0.05454042,0.6865721,0.0000000004765976,0.31342787
-2.227556,0.10454042,0.36917916,0.0000000005237501,0.6308209
-2.227556,0.15454042,0.13521424,0.00000000039204093,0.8647858
-2.227556,0.20454042,0.040097985,0.0000000002376031,0.95990205
-2.227556,0.2545404,0.011037171,0.00000000013366237,0.9889628
-2.227556,0.30454043,0.00297281,0.000000000073576686,0.9970272
-2.227556,0.35454044,0.0007959707,0.00000000004026163,0.9992041
-2.227556,0.40454045,0.00021278042,0.000000000021996257,0.9997873
-2.227556,0.45454046,0.000056856705,0.000000000012012143,0.99994314
-2.227556,0.50454044,0.000015190853,0.0000000000065590497,0.99998486
-2.227556,0.55454046,0.000004058532,0.0000000000035813746,0.99999595
-2.227556,0.60454047,0.0000010843058,0.0000000000019554874,0.9999989
-2.227556,0.6545405,0.0000002896904,0.000000000001067725,0.99999976
-2.227556,0.7045405,0.00000007739557,0.0000000000005829909,0.9999999
-2.227556,0.7545405,0.00000002067758,0.0000000000003183226,1
-2.227556,0.8045405,0.000000005524356,0.00000000000017380802,1
-2.227556,0.8545405,0.0000000017190996,0.000000000000102149185,1
-2.227556,0.90454054,0.0000000006550579,0.0000000000000661976,1
-2.227556,0.95454055,0.00000000025813227,0.0000000000000433973,1
-2.227556,1.0045406,0.00000000011485244,0.000000000000029828546,1
-2.227556,1.0545405,0.00000000005726628,0.000000000000021322787,1
-2.227556,1.1045405,0.00000000003153876,0.000000000000015690054,1
-2.227556,1.1545404,0.000000000019678828,0.000000000000012019408,1
-2.227556,1.2045404,0.000000000012418905,0.0000000000000092396065,1
-2.227556,1.2545403,0.000000000008027843,0.0000000000000071439555,1
-2.227556,1.3045403,0.0000000000052665858,0.000000000000005543296,1
-2.227556,1.3545402,0.0000000000034550973,0.000000000000004301293,1
-2.227556,1.4045402,0.0000000000022666775,0.0000000000000033375544,1
-2.227556,1.4545401,0.0000000000015166002,0.0000000000000025794656,1
-2.227556,1.5045401,0.0000000000010339987,0.000000000000001985993,1
-2.227556,1.55454,0.0000000000007049699,0.0000000000000015290584,1
-2.227556,1.60454,0.00000000000048064043,0.0000000000000011772591,1
-2.227556,1.65454,0.00000000000032769515,0.0000000000000009063968,1
-2.227556,1.7045399,0.00000000000022341838,0.00000000000000069785425,1
-2.227556,1.7545398,0.00000000000015232439,0.0000000000000005372949,1
-2.227556,1.8045398,0.00000000000010385323,0.00000000000000041367636,1
-2.227556,1.8545398,0.000000000000070806086,0.00000000000000031849823,1
-2.227556,1.9045397,0.000000000000048274688,0.00000000000000024521858,1
-2.227556,1.9545397,0.000000000000032913193,0.00000000000000018879973,1
-2.227556,2.0045397,0.000000000000022439797,0.00000000000000014536093,1
-2.227556,2.0545397,0.000000000000015299226,0.0000000000000001119169,1
-2.227556,2.1045396,0.0000000000000104308575,0.000000000000000086167206,1
-2.227556,2.1545396,0.000000000000007111626,0.00000000000000006634197,1
-2.177556,-2.1454587,1,0.000000000000000000003400711,0.000000000000000000000014265768
-2.177556,-2.0954587,1,0.000000000000000000005918193,0.00000000000000000000003992335
-2.177556,-2.0454588,1,0.00000000000000000001029924,0.00000000000000000000011172717
-2.177556,-1.9954588,1,0.000000000000000000017923572,0.00000000000000000000031267314
-2.177556,-1.9454589,1,0.000000000000000000031191818,0.0000000000000000000008750255
-2.177556,-1.8954589,1,0.000000000000000000055064205,0.0000000000000000000025965171
-2.177556,-1.845459,1,0.00000000000000000009759056,0.000000000000000000007830169
-2.177556,-1.795459,1,0.00000000000000000017296022,0.000000000000000000023612817
-2.177556,-1.7454591,1,0.0000000000000000003100558,0.000000000000000000075310375
-2.177556,-1.6954591,1,0.00000000000000000055743717,0.00000000000000000024364427
-2.177556,-1.6454592,1,0.0000000000000000010021867,0.0000000000000000007882384
-2.177556,-1.5954592,1,0.0000000000000000018017921,0.0000000000000000025501006
-2.177556,-1.5454593,1,0.0000000000000000032393586,0.0000000000000000082501216
-2.177556,-1.4954593,1,0.0000000000000000058239156,0.000000000000000026690911
-2.177556,-1.4454594,1,0.000000000000000010470589,0.00000000000000008635016
-2.177556,-1.3954594,1,0.000000000000000018824588,0.00000000000000027936126
-2.177556,-1.3454595,1,0.000000000000000033843857,0.0000000000000009037867
-2.177556,-1.2954595,1,0.00000000000000006084631,0.0000000000000029239433
-2.177556,-1.2454596,1,0.00000000000000010938818,0.000000000000009460161
-2.177556,-1.1954596,1,0.00000000000000019658519,0.000000000000030621996
-2.177556,-1.1454597,1,0.0000000000000003532926,0.0000000000000991224
-2.177556,-1.0954597,1,0.0000000000000006349189,0.00000000000032085473
-2.177556,-1.0454597,1,0.0000000000000011410299,0.0000000000010385883
-2.177556,-0.99545974,1,0.000000000000002050607,0.0000000000033618826
-2.177556,-0.9454597,1,0.0000000000000036852434,0.0000000000108823246
-2.177556,-0.8954597,1,0.0000000000000066228752,0.000000000035225392
-2.177556,-0.8454597,1,0.0000000000000119015126,0.00000000011400626
-2.177556,-0.7954597,1,0.000000000000021381595,0.0000000003687397
-2.177556,-0.7454597,1,0.000000000000038412985,0.0000000011926494
-2.177556,-0.69545966,1,0.00000000000006901037,0.000000003857468
-2.177556,-0.64545965,1,0.00000000000012397971,0.000000012476547
-2.177556,-0.59545964,1,0.00000000000022273378,0.00000004035391
-2.177556,-0.5454596,0.9999999,0.00000000000040015105,0.00000013052016
-2.177556,-0.49545962,0.9999995,0.0000000000007188848,0.00000042215143
-2.177556,-0.4454596,0.9999987,0.0000000000012915073,0.0000013654002
-2.177556,-0.3954596,0.9999956,0.0000000000023202343,0.0000044162152
-2.177556,-0.34545958,0.99998546,0.000000000004230113,0.000014564673
-2.177556,-0.29545957,0.99994826,0.00000000000816117,0.000051776144
-2.177556,-0.24545957,0.999816,0.000000000015743813,0.00018404183
-2.177556,-0.19545957,0.9993461,0.000000000030361325,0.00065396825
-2.177556,-0.14545958,0.99762243,0.000000000060075465,0.002377548
-2.177556,-0.09545958,0.99115855,0.00000000012198258,0.00884147
-2.177556,-0.04545958,0.96769017,0.00000000024339486,0.032309864
-2.177556,0.004540421,0.88891006,0.0000000004569364,0.111089915
-2.177556,0.05454042,0.6813047,0.0000000007157487,0.3186953
-2.177556,0.10454042,0.3635222,0.00000000078049495,0.63647777
-2.177556,0.15454042,0.13238984,0.00000000058092,0.8676102
-2.177556,0.20454042,0.039170433,0.00000000035127007,0.96082956
-2.177556,0.2545404,0.010774306,0.00000000019746685,0.9892257
-2.177556,0.30454043,0.0029014496,0.00000000010867782,0.99709857
-2.177556,0.35454044,0.0007768206,0.00000000005946596,0.9992231
-2.177556,0.40454045,0.00020765884,0.00000000003248782,0.9997924
-2.177556,0.45454046,0.000055487926,0.000000000017741482,0.99994457
-2.177556,0.50454044,0.000014825129,0.000000000009687477,0.9999852
-2.177556,0.55454046,0.000003960828,0.0000000000052895583,0.99999607
-2.177556,0.60454047,0.0000010582024,0.0000000000028881771,0.9999989
-2.177556,0.6545405,0.00000028271646,0.0000000000015769903,0.99999976
-2.177556,0.7045405,0.00000007553236,0.00000000000086105596,0.9999999
-2.177556,0.7545405,0.000000020179716,0.00000000000047014893,1
-2.177556,0.8045405,0.0000000053913434,0.00000000000025670704,1
-2.177556,0.8545405,0.0000000018305096,0.00000000000015735105,1
-2.177556,0.90454054,0.0000000006975104,0.00000000000010197068,1
-2.177556,0.95454055,0.000000000283022,0.0000000000000675255,1
-2.177556,1.0045406,0.00000000013144384,0.000000000000047299272,1
-2.177556,1.0545405,0.000000000067150695,0.000000000000034005933,1
-2.177556,1.1045405,0.00000000003903054,0.000000000000025464167,1
-2.177556,1.1545404,0.000000000024631424,0.000000000000019574952,1
-2.177556,1.2045404,0.000000000015568956,0.000000000000015053419,1
-2.177556,1.2545403,0.000000000010213916,0.000000000000011680625,1
-2.177556,1.3045403,0.0000000000067007368,0.000000000000009063524,1
-2.177556,1.3545402,0.000000000004395951,0.0000000000000070327964,1
-2.177556,1.4045402,0.000000000002883925,0.0000000000000054570635,1
-2.177556,1.4545401,0.0000000000019626338,0.0000000000000042030643,1
-2.177556,1.5045401,0.000000000001338104,0.0000000000000032360413,1
-2.177556,1.55454,0.000000000000912304,0.0000000000000024915065,1
-2.177556,1.60454,0.0000000000006219973,0.0000000000000019182567,1
-2.177556,1.65454,0.00000000000042407226,0.0000000000000014769123,1
-2.177556,1.7045399,0.00000000000028912707,0.0000000000000011371106,1
-2.177556,1.7545398,0.00000000000019712392,0.00000000000000087548563,1
-2.177556,1.8045398,0.00000000000013439683,0.0000000000000006740576,1
-2.177556,1.8545398,0.000000000000091630405,0.0000000000000005189713,1
-2.177556,1.9045397,0.00000000000006247245,0.00000000000000039956858,1
-2.177556,1.9545397,0.000000000000042593164,0.00000000000000030763636,1
-2.177556,2.0045397,0.000000000000029039478,0.0000000000000002368567,1
-2.177556,2.0545397,0.000000000000019798784,0.00000000000000018236102,1
-2.177556,2.1045396,0.000000000000013498585,0.00000000000000014040417,1
-2.177556,2.1545396,0.000000000000009203164,0.00000000000000010809974,1
-2.127556,-2.1454587,1,0.0000000000000000000051461123,0.000000000000000000000015726324
-2.127556,-2.0954587,1,0.000000000000000000008955648,0.00000000000000000000004401044
-2.127556,-2.0454588,1,0.000000000000000000015585225,0.00000000000000000000012316506
-2.127556,-1.9954588,1,0.00000000000000000002712257,0.00000000000000000000034468256
-2.127556,-1.9454589,1,0.000000000000000000047200713,0.0000000000000000000009646086
-2.127556,-1.8954589,1,0.0000000000000000000822918,0.000000000000000000002719653
-2.127556,-1.845459,1,0.0000000000000000001458456,0.000000000000000000008201441
-2.127556,-1.795459,1,0.00000000000000000025848285,0.000000000000000000024732526
-2.127556,-1.7454591,1,0.0000000000000000004593266,0.00000000000000000007556217
-2.127556,-1.6954591,1,0.0000000000000000008258052,0.00000000000000000024445981
-2.127556,-1.6454592,1,0.0000000000000000014846714,0.00000000000000000079087684
-2.127556,-1.5954592,1,0.0000000000000000026692324,0.000000000000000002558656
-2.127556,-1.5454593,1,0.0000000000000000047989078,0.0000000000000000082777684
-2.127556,-1.4954593,1,0.0000000000000000086277345,0.000000000000000026780254
-2.127556,-1.4454594,1,0.000000000000000015511407,0.000000000000000086639526
-2.127556,-1.3954594,1,0.000000000000000027887345,0.00000000000000028029636
-2.127556,-1.3454595,1,0.000000000000000050137564,0.0000000000000009068188
-2.127556,-1.2954595,1,0.00000000000000009014001,0.0000000000000029337306
-2.127556,-1.2454596,1,0.00000000000000016205857,0.000000000000009491247
-2.127556,-1.1954596,1,0.00000000000000029124315,0.000000000000030722505
-2.127556,-1.1454597,1,0.0000000000000005234069,0.00000000000009944755
-2.127556,-1.0954597,1,0.0000000000000009406358,0.00000000000032190784
-2.127556,-1.0454597,1,0.000000000000001690455,0.0000000000010419971
